dataset,img_name,l_mean,l_std,a_mean,a_std,b_mean,b_std
lizard,consep_5_0_0_500_500,184.626944,40.6880733,24.591784,25.11884439,230.845176,39.26960878
lizard,dpath_50_0_0_1268_1005,103.3782287,33.27019247,26.64607954,5.457128781,224.7312577,6.320433263
lizard,crag_3_0_0_1511_1516,179.0502629,27.71216109,21.10982522,7.443616632,234.4412889,21.99207601
lizard,glas_21_0_0_775_522,122.900875,46.95847849,47.11532814,12.46856596,221.9095118,21.56418904
lizard,glas_29_0_0_775_522,184.6988728,46.60055578,23.88040786,20.29205028,203.4711457,78.67307181
lizard,dpath_63_0_0_999_883,111.8252703,54.36461828,19.43895538,7.699065883,228.404571,15.84364572
lizard,dpath_14_0_0_1286_1113,151.6891243,57.95863269,17.40722537,9.419293506,234.2411218,23.76999503
lizard,crag_7_0_0_1511_1516,216.9104919,28.94525213,11.35845663,13.66015336,222.0178952,75.9414776
lizard,crag_40_0_0_1509_1516,214.017532,24.70391143,13.19686979,10.85058456,241.5877623,31.70325184
lizard,glas_5_0_0_775_522,153.7685774,52.1795982,37.8931776,16.45145536,210.2018737,60.35105891
lizard,glas_47_0_0_775_522,167.0321542,56.91582063,36.13063651,32.06650313,181.0753183,90.48087719
lizard,dpath_2_0_0_984_1097,189.8738124,42.03843618,9.938694592,8.15166475,238.1300424,39.28320451
lizard,crag_53_0_0_1512_1516,182.1959251,34.94186787,22.36317333,19.22719999,231.3303131,30.38358155
lizard,glas_10_0_0_775_522,180.6911259,37.95654729,29.84687678,18.82186756,214.0365122,67.16716026
lizard,crag_50_0_0_1512_1516,215.0824255,24.99793314,8.366732368,12.72977959,229.5996797,62.28445095
lizard,glas_7_0_0_775_522,186.4919812,47.61988794,24.03220863,19.91745022,204.7571301,78.26808482
lizard,glas_13_0_0_775_522,166.0157607,46.82666659,35.64197503,18.45338527,212.4082734,63.41140359
lizard,dpath_32_0_0_955_753,109.0104295,48.11076091,31.70514174,8.739830164,222.1526557,13.01522701
lizard,crag_61_0_0_1511_1516,197.4078835,24.71248767,15.74278379,11.92073342,233.5271789,43.63554156
lizard,dpath_27_0_0_1884_1612,130.7802034,48.40572335,33.78431996,13.35623653,225.6859867,15.16423001
lizard,pannuke_3_0_0_500_500,178.998064,45.41203158,23.34546,19.94982981,221.253448,48.10943296
lizard,glas_15_0_0_775_522,162.3356272,35.93867589,38.82596712,12.93428608,222.5602991,37.15959722
lizard,crag_52_0_0_1511_1516,226.7511979,23.97430708,8.660150541,22.11148042,186.3596899,109.1511724
lizard,glas_61_0_0_775_522,170.9925769,37.01528165,32.58819182,11.70693733,224.1328142,39.64762195
lizard,dpath_41_0_0_1302_1099,126.8432788,40.5640469,29.95530219,8.319385932,225.4519567,9.832064305
lizard,crag_43_0_0_1500_1516,226.5133993,29.05745319,7.641627968,15.02959258,169.4369644,116.680681
lizard,crag_31_0_0_1511_1516,194.7862382,23.15530638,19.60715701,10.33507742,237.947708,30.6139497
lizard,pannuke_9_0_0_500_500,185.844468,52.35850401,20.010564,13.96540713,232.750772,40.38559874
lizard,crag_17_0_0_1512_1516,195.3918263,31.43764878,21.44425947,10.10581221,225.6466195,63.31304316
lizard,crag_60_0_0_1509_1516,185.1265048,42.15981271,20.60983746,9.92972025,236.8874213,28.8619662
lizard,glas_11_0_0_775_522,177.6274033,41.91908925,28.16975899,13.61906699,220.4266617,52.58897151
lizard,pannuke_25_0_0_500_500,168.05422,77.00857963,12.63968,22.89903128,180.229708,109.1013348
lizard,crag_23_0_0_1508_1516,204.5618513,31.2847876,13.98615213,10.12016805,234.0358151,47.85291129
lizard,dpath_69_0_0_1607_1359,164.9362662,50.34207431,19.80826159,11.39559915,235.2258991,19.95508179
lizard,consep_11_0_0_500_500,199.119536,42.20167143,14.851452,10.4934769,234.563368,32.77759601
lizard,pannuke_7_0_0_512_337,160.6780184,46.39163667,26.31679456,9.94488378,226.7564331,21.83382462
lizard,dpath_1_0_0_1190_928,93.53941339,37.08153811,38.0107324,9.234382781,223.5131266,9.194286611
lizard,crag_48_0_0_1508_1516,206.516367,32.09771077,14.75664573,20.84582812,224.5457376,66.50541261
lizard,crag_54_0_0_1509_1516,206.3520128,23.26809754,18.53551339,8.756440642,241.4664179,25.26581305
lizard,pannuke_24_0_0_500_500,167.982064,56.0186276,22.077476,8.211399483,233.811336,14.14738668
lizard,crag_62_0_0_1512_1516,184.9159992,28.46931859,25.29213478,8.075472693,234.2309745,27.54040046
lizard,dpath_28_0_0_1140_782,179.0518262,38.67827826,17.85520595,7.459785761,236.9002748,21.67872048
lizard,glas_59_0_0_775_522,162.8809467,45.19981163,39.91179829,17.65667278,209.021975,64.27814671
lizard,consep_15_0_0_500_500,199.386708,29.0855642,21.70752,13.05394436,233.099564,39.1350727
lizard,dpath_26_0_0_1123_1056,147.3160754,46.39705894,32.1390047,12.15276938,231.8481981,16.34184551
lizard,consep_2_0_0_500_500,206.165456,39.59022698,12.626148,13.8285805,230.171328,56.31117991
lizard,consep_10_0_0_500_500,177.616892,37.02517231,20.713384,7.633468102,230.388556,17.93777166
lizard,crag_44_0_0_1508_1516,203.155284,33.46535211,12.32967795,11.36087023,220.4358684,69.40231671
lizard,crag_13_0_0_1511_1516,216.9768841,21.04589066,9.14621579,12.78538254,236.4376158,51.43045071
lizard,dpath_42_0_0_1614_1168,142.881391,46.54672718,32.30618221,12.1842709,229.7950563,13.98861387
lizard,dpath_30_0_0_1343_869,164.320177,51.66096659,18.81672603,9.908817519,230.6676343,28.49227643
lizard,dpath_23_0_0_1076_1007,95.70185744,41.19792906,23.99476065,6.306704227,225.8779556,10.33552972
lizard,dpath_13_0_0_2145_1301,163.0334557,55.9947387,29.53543536,19.38043458,235.1000618,30.75776834
lizard,crag_21_0_0_1514_1516,206.3036139,37.82806,12.71089488,12.91569503,235.8948673,42.50770722
lizard,dpath_58_0_0_1073_932,144.2376324,60.21306038,25.62202161,12.95805473,232.0089187,18.7741531
lizard,pannuke_1_0_0_500_500,190.533088,42.4399674,20.406836,12.2504312,227.040076,53.97724986
lizard,dpath_47_0_0_1137_1057,112.5880152,38.79341621,32.23760764,6.445005275,219.9841472,9.952607137
lizard,pannuke_14_0_0_500_500,191.859572,26.75036979,24.937716,5.871204025,238.619836,25.1878099
lizard,dpath_29_0_0_1446_660,175.706004,51.96401557,21.21783289,15.19791997,235.2907184,24.00123649
lizard,dpath_17_0_0_1190_934,127.0006649,51.93977562,30.58115902,11.91311547,229.0194384,14.00636011
lizard,glas_34_0_0_775_522,157.3032308,38.21876494,42.32223953,12.27655272,223.1285725,29.00993017
lizard,dpath_7_0_0_760_635,96.7054455,30.80333607,34.30404683,5.403836509,216.270116,7.905405597
lizard,pannuke_11_0_0_500_500,201.767856,31.41468748,19.962612,10.41947437,231.570492,51.69167692
lizard,crag_45_0_0_1511_1516,196.6212498,23.63129806,16.46170039,7.020702222,240.3054011,18.23858439
lizard,crag_63_0_0_1512_1516,233.8148968,19.35798307,4.708390484,14.1451199,147.1762911,123.8303758
lizard,dpath_43_0_0_1017_874,104.9233668,39.23409147,43.33762536,10.85197592,229.5811839,7.066825622
lizard,glas_1_0_0_775_522,175.4305401,44.36259328,31.43817822,19.77697759,208.9511581,71.10434156
lizard,crag_49_0_0_1511_1516,193.2697832,37.41499119,15.21447337,10.82766519,234.2719542,33.8556384
lizard,glas_37_0_0_775_522,140.3894401,38.86464367,47.831912,11.35504388,223.9268916,19.50836371
lizard,dpath_52_0_0_738_760,146.3646395,38.07805484,43.24102838,13.51612493,236.2403455,12.73492612
lizard,crag_29_0_0_1511_1516,198.5119109,26.4044417,15.34888697,10.8026652,236.9673454,34.62878817
lizard,glas_41_0_0_775_522,185.3866543,38.83114698,28.56288963,19.65234973,209.8240638,74.40131256
lizard,crag_22_0_0_1508_1516,204.8987178,29.98753814,15.00803892,16.91788284,230.1101741,56.3153953
lizard,dpath_20_0_0_1684_1439,133.104627,50.2882115,37.32534841,14.61787407,230.9683466,17.45481953
lizard,glas_6_0_0_775_522,162.5731875,33.97530284,24.95787665,8.113671045,226.1875813,32.61878693
lizard,dpath_37_0_0_1048_961,133.3698239,36.30540026,42.12359799,10.91263931,230.8273298,11.35634037
lizard,crag_10_0_0_1508_1516,199.259772,34.85696491,12.82076157,10.50961138,220.6731627,67.71222519
lizard,pannuke_12_0_0_512_512,206.4769287,48.73816887,12.68970108,26.52168742,199.1404037,92.34427679
lizard,pannuke_22_0_0_512_512,183.4908218,42.83147728,16.18177414,20.25543774,217.0733337,66.13203892
lizard,consep_13_0_0_500_500,193.07324,36.80803689,16.773908,9.218846696,234.180256,21.08832027
lizard,crag_1_0_0_1509_1516,211.3873221,23.37435301,16.10960097,10.46737095,242.0834304,26.68332493
lizard,glas_16_0_0_589_453,166.7443491,45.20918271,38.11936271,16.24397833,224.2563367,25.14261245
lizard,pannuke_5_0_0_500_500,182.725992,35.87196699,26.70348,9.202671128,197.437564,94.84703984
lizard,crag_16_0_0_1508_1516,205.8935331,29.07564371,14.57358774,17.38359141,230.8386114,55.63567688
lizard,glas_32_0_0_775_522,182.0174812,37.44065967,29.26008404,15.29936701,219.1027141,61.25149335
lizard,crag_8_0_0_1500_1516,213.7788487,29.64610199,12.46316315,12.68415012,239.2505352,44.95947925
lizard,consep_9_0_0_500_500,224.698012,29.12628667,11.240604,24.91668328,173.850752,113.7096729
lizard,dpath_9_0_0_1103_860,131.5372009,41.77841315,38.25782327,12.0693985,227.9253526,13.85207493
lizard,crag_18_0_0_1511_1516,189.8539335,34.85249108,16.63485146,12.36765939,231.7942961,42.47065676
lizard,dpath_19_0_0_1462_1113,123.1299915,38.73240892,42.63102213,8.640414476,229.6542337,8.18545606
lizard,dpath_59_0_0_1247_805,171.7004169,41.11422908,22.78800102,8.413858027,237.6419342,14.90175504
lizard,glas_50_0_0_589_453,185.8825749,42.84236863,29.61368653,21.8141245,210.8814056,63.60365467
lizard,dpath_51_0_0_1172_854,159.662205,42.36699163,26.34014295,10.34744776,234.6836,13.56293466
lizard,dpath_15_0_0_1245_877,164.9951331,47.3084242,13.58811483,5.914460238,237.6260234,15.70772174
lizard,dpath_31_0_0_1465_1056,186.4054646,38.72279109,18.54726962,10.93351577,225.4661722,59.79903136
lizard,crag_64_0_0_1509_1516,208.1094248,35.53092488,15.15056058,13.65872655,241.7622646,34.44889826
lizard,crag_35_0_0_1514_1516,202.633482,34.81365094,16.38190042,14.63580403,229.8293291,52.70401241
lizard,glas_49_0_0_775_522,159.0542578,41.92862316,38.58199481,13.1556379,221.2692794,43.54742199
lizard,dpath_24_0_0_1054_1354,138.3526259,51.88573787,32.73924895,14.72945401,232.991932,15.66872389
lizard,crag_12_0_0_1505_1516,196.1044408,36.61898085,19.09717476,23.18831737,226.8975504,52.58916262
lizard,glas_12_0_0_775_522,146.5685552,39.17774612,36.98992955,8.8728581,221.5323199,26.76760286
lizard,dpath_25_0_0_992_742,117.5624361,50.62093414,23.28865832,6.949003389,230.2128185,13.46059842
lizard,pannuke_23_0_0_500_500,186.367744,31.59139383,24.603424,7.086506578,235.696832,23.12285608
lizard,pannuke_13_0_0_500_500,178.548576,41.72230301,26.431244,12.50595573,232.97714,35.85860735
lizard,dpath_18_0_0_1391_803,109.6839172,42.09255481,25.48046998,6.349444158,224.1993083,8.790913156
lizard,pannuke_28_0_0_500_500,206.52024,37.8938248,13.591024,21.51119436,211.30658,77.68451195
lizard,glas_46_0_0_775_522,138.0577283,42.48536395,48.25362502,13.24252438,223.3565171,22.74806987
lizard,dpath_4_0_0_1253_1235,105.8929804,46.76440023,26.57712567,7.61591366,226.5809461,11.0543309
lizard,dpath_64_0_0_910_896,136.754766,44.48478868,30.879349,10.58700677,227.2159169,13.7272799
lizard,consep_16_0_0_500_500,197.0245,32.494089,22.585948,12.71860735,236.158008,35.60015609
lizard,glas_30_0_0_775_522,185.4213002,40.14851141,24.73400816,15.50205862,217.9638734,60.57604825
lizard,crag_37_0_0_1511_1516,195.6315,30.58492793,18.21424156,15.05341381,216.7178532,72.52362718
lizard,crag_5_0_0_1509_1516,212.9973851,33.17307879,10.303229,9.368256973,240.9324759,41.1171719
lizard,glas_27_0_0_775_522,167.0928315,33.10129078,24.97717958,7.941248442,228.5104462,30.19506129
lizard,glas_42_0_0_775_522,190.7424842,39.80551156,25.76517612,16.50793498,214.7040761,71.23036586
lizard,glas_58_0_0_574_433,151.8344183,51.60936455,39.40305864,20.90544875,217.2043679,37.1906314
lizard,crag_14_0_0_1319_1516,173.0156321,34.54533142,26.87318789,7.55961574,237.022636,15.08832248
lizard,glas_8_0_0_775_522,142.0705055,35.23686413,41.591341,10.8998207,222.2013175,34.98306701
lizard,pannuke_8_0_0_500_500,192.125736,37.43967808,22.983472,26.99667859,220.122908,63.44906551
lizard,pannuke_20_0_0_500_500,235.740872,18.91693793,4.215032,7.312722697,232.315484,68.9581932
lizard,glas_24_0_0_589_453,152.2635477,50.53503928,42.32908323,14.7079903,221.0810855,27.3148146
lizard,glas_53_0_0_775_522,179.4628476,36.91636471,29.68697565,17.96118423,215.8008701,63.99460915
lizard,consep_6_0_0_500_500,193.757772,39.6782144,16.565708,10.6107769,231.823892,45.81750109
lizard,pannuke_10_0_0_512_512,149.1386986,40.41731308,22.24131012,6.704945053,229.0895653,19.78475599
lizard,dpath_36_0_0_1053_885,179.1397535,39.90361247,21.78200782,11.20081149,235.5121574,23.45045428
lizard,dpath_35_0_0_1708_1646,112.0084012,38.12185612,39.73910068,9.725965529,225.0350907,9.120076183
lizard,dpath_61_0_0_1315_1007,151.2437795,41.73234342,28.22048625,10.74504605,232.5336357,12.22828988
lizard,glas_4_0_0_775_522,156.2849314,36.94413983,38.69803485,10.7355,222.2724088,29.79181922
lizard,glas_2_0_0_775_522,137.0183018,47.34181348,46.30940304,11.91882146,227.3865505,21.68600937
lizard,pannuke_15_0_0_512_512,165.2916565,43.62335583,20.86750412,8.997637761,228.2782288,40.48358392
lizard,crag_56_0_0_1511_1516,210.7854149,40.01885626,12.35546232,15.07608171,173.3233879,108.5151781
lizard,dpath_68_0_0_1271_1061,144.9090714,45.51864131,21.25333344,7.662286484,230.4645707,17.13546312
lizard,dpath_40_0_0_1038_1131,122.6516153,47.1874464,31.46762461,9.863170105,226.0778055,14.24808548
lizard,dpath_39_0_0_1107_672,129.7024831,42.75314197,27.39090797,7.364551963,226.960878,12.28480815
lizard,pannuke_16_0_0_512_512,154.1485596,53.59257934,19.2175827,12.15916389,224.4814568,37.41726274
lizard,crag_32_0_0_1511_1516,198.7510185,37.048254,16.62334088,12.71844213,226.5236415,56.08556023
lizard,dpath_3_0_0_1291_1079,137.8965397,55.72737221,17.28103237,9.337837677,225.8848376,32.48750593
lizard,dpath_12_0_0_2019_2175,123.5184476,47.04133884,30.50347651,9.934876974,227.8183878,13.84155404
lizard,glas_31_0_0_775_522,166.2395724,38.63091893,33.77328884,11.19306897,224.4003708,33.49908541
lizard,dpath_67_0_0_1074_958,174.1449997,43.92537682,20.99950821,9.445554862,235.2948084,23.4231012
lizard,pannuke_26_0_0_500_500,191.818984,36.92165924,22.127744,23.4593799,220.626916,62.65742596
lizard,dpath_66_0_0_1538_1145,122.0113384,32.53486436,40.66685141,6.757208297,228.5831074,6.859928202
lizard,consep_1_0_0_500_500,189.826732,39.98961903,19.707788,25.38536476,221.179324,54.45050559
lizard,crag_19_0_0_1511_1516,212.2529672,37.36855952,12.26477162,15.55638503,207.1477459,87.00540318
lizard,glas_25_0_0_775_522,183.4276653,39.20955647,29.18415029,20.34572349,212.1027858,71.02486595
lizard,dpath_57_0_0_854_1142,182.354278,50.46574813,20.66965183,14.48489942,233.4756098,40.88607593
lizard,pannuke_19_0_0_500_500,185.371408,34.40073418,24.652024,7.861641095,234.655468,29.20288598
lizard,glas_23_0_0_775_522,163.7194834,34.69616665,25.65513286,8.860883575,225.2834458,35.61001367
lizard,dpath_38_0_0_1216_846,166.7053433,45.66463338,28.32411134,13.66702543,236.8265172,19.72068934
lizard,pannuke_4_0_0_512_512,176.9261742,51.41889227,21.33070755,18.31204598,206.601223,79.00572536
lizard,glas_17_0_0_775_522,135.507475,47.13184884,46.61073538,11.62942164,227.5857842,21.56825936
lizard,dpath_16_0_0_978_836,95.05830789,35.44849149,44.84758466,10.17330506,232.046603,10.40761007
lizard,glas_3_0_0_775_522,182.7318774,35.11936656,30.00068224,13.92119067,219.4999382,54.75825538
lizard,crag_57_0_0_1512_1516,177.2874654,43.31280661,23.65675258,12.67804954,226.3159967,43.22895861
lizard,crag_11_0_0_1512_1516,202.4073023,37.20199805,15.93911941,11.29658454,233.5200865,46.98290163
lizard,dpath_49_0_0_1028_867,160.0295745,44.10121575,25.58596551,9.873569901,233.818596,14.11833073
lizard,glas_20_0_0_775_522,161.6852305,38.89355058,35.0408528,11.2144331,223.8126041,31.83406887
lizard,dpath_48_0_0_1035_911,119.5305387,52.37172342,29.76236232,9.095327252,226.8332755,13.81218374
lizard,dpath_55_0_0_1047_2117,144.7652916,52.72614012,19.5102804,9.782466999,231.6368255,18.79154434
lizard,glas_43_0_0_775_522,190.5965023,66.18704809,29.93231986,40.32101293,140.7734643,113.3899254
lizard,dpath_46_0_0_1842_2095,144.0372712,49.46517626,30.97487322,12.35699928,230.0462585,16.39706474
lizard,glas_40_0_0_775_522,159.543646,39.48853135,35.39210234,11.16725285,222.4285552,32.92974392
lizard,dpath_6_0_0_1060_900,141.4779853,40.48472315,35.8397369,11.99391994,232.2663187,11.40102826
lizard,dpath_65_0_0_1008_947,109.4059708,40.58111986,26.50249116,6.864263032,223.5395107,9.484858914
lizard,crag_26_0_0_1512_1516,194.7714362,43.55877069,14.72085977,10.79860743,236.8513004,32.30040396
lizard,crag_59_0_0_1511_1516,182.7425149,22.99919252,21.16666172,6.393372259,236.3066916,16.82769775
lizard,glas_55_0_0_775_522,164.5657496,48.14490648,38.04840934,19.17758612,206.9520924,66.32819011
lizard,crag_39_0_0_1319_1516,176.0246464,39.72628778,26.19328777,9.345866257,236.9903261,25.61782886
lizard,crag_58_0_0_1509_1516,213.8575084,23.81968972,14.69949302,13.98565123,241.3431478,32.8473316
lizard,consep_12_0_0_500_500,218.400124,30.87289414,12.241916,21.37379687,203.280648,92.32484184
lizard,glas_28_0_0_775_522,144.3248004,38.48783662,42.6575034,13.09258057,221.452787,39.76155123
lizard,pannuke_6_0_0_500_500,187.04006,36.08251941,25.504684,9.996326228,210.548508,84.61423289
lizard,crag_42_0_0_1509_1516,223.4879981,25.73848034,10.84091493,22.95402354,216.5434145,82.89148408
lizard,dpath_33_0_0_1206_839,139.9882797,42.04131377,34.76990198,11.56982788,230.0260636,15.95129185
lizard,crag_30_0_0_1511_1516,217.7550247,30.39057908,11.41004184,16.81863276,213.4980456,86.24626772
lizard,dpath_53_0_0_996_967,117.6111488,47.28183721,22.59846729,6.899108086,228.5095459,13.45744355
lizard,pannuke_18_0_0_500_500,174.167044,44.69176242,25.290276,20.67671811,219.153148,48.86585652
lizard,glas_60_0_0_775_522,171.676045,34.80648169,34.04336918,11.20988119,224.0283327,38.40511913
lizard,dpath_8_0_0_1236_972,141.3452537,37.82819827,28.53440426,8.584232193,230.292266,10.11352269
lizard,dpath_22_0_0_1626_789,125.8710218,39.35099501,42.16222132,11.4448234,229.2551052,9.959740102
lizard,dpath_11_0_0_1413_1050,180.5237024,42.29356208,18.63761804,10.20537754,238.6852027,17.63554453
lizard,crag_27_0_0_1500_1516,230.9181003,22.48872982,74.28641249,111.2215008,140.3091328,124.2584413
lizard,glas_19_0_0_775_522,184.627035,42.92194745,30.87337536,29.96243434,197.7986306,85.07463503
lizard,crag_9_0_0_1511_1516,191.7655583,38.76076206,14.87016453,10.70678757,235.5765246,25.16096475
lizard,glas_35_0_0_775_522,184.1148016,44.07990849,24.13983438,17.57966837,212.0084415,68.52419684
lizard,crag_33_0_0_1511_1516,193.7593374,30.26394027,17.79490639,13.47896323,230.3373633,48.50282423
lizard,glas_39_0_0_581_442,166.3231283,34.13690255,23.5045794,7.98752959,226.9641397,33.61945436
lizard,glas_57_0_0_775_522,143.1993128,37.47358049,41.67787912,12.3332166,221.4195081,37.96942757
lizard,dpath_21_0_0_1034_781,147.9802639,44.38721573,29.5452948,10.71748116,229.401858,18.39450116
lizard,dpath_56_0_0_1641_878,105.6752348,49.88140294,23.10352804,7.95016111,221.8879975,17.46810346
lizard,consep_8_0_0_500_500,181.464784,45.83764776,21.473292,10.60045351,225.979448,47.07445067
lizard,glas_38_0_0_775_522,161.1367346,45.71758454,36.63816586,15.83696153,217.1848696,54.4939678
lizard,consep_3_0_0_500_500,188.183336,34.19227895,26.495424,12.30641926,232.528008,39.18678185
lizard,crag_25_0_0_1500_1516,231.5362854,29.35893482,5.571568162,14.32806293,119.5049019,124.5217603
ocelot,458_1_12292_6146_13316_7170,161.4822559,46.76676234,27.56819916,11.30505636,241.8126945,17.76595955
ocelot,582_0_43061_57415_44085_58439,188.3804541,50.32807568,24.08585644,22.881587,173.7887096,114.9397658
ocelot,454_1_30730_3073_31754_4097,160.1434021,55.97506984,16.6780529,15.48633943,214.7224112,75.94855638
ocelot,533_1_35851_3073_36875_4097,170.3468838,35.47129804,28.60186481,18.82502719,235.9954081,52.70300044
ocelot,380_0_14340_30729_15364_31753,186.6165714,14.38426205,27.27846146,6.43872937,70.34943771,112.7009315
ocelot,115_1_6144_16384_7168_17408,176.1918306,33.47381226,19.62589645,8.466966176,242.7580805,38.35820272
ocelot,076_1_23559_15365_24583_16389,221.5047646,29.394453,12.34137344,21.82783912,170.5290251,116.1112329
ocelot,167_0_34859_18455_35883_19479,159.3491621,34.49577384,34.17868805,9.05828652,239.0035477,46.40567034
ocelot,168_0_16389_5122_17413_6146,152.1944904,31.40534096,35.94437695,6.983611731,246.2048664,26.79838395
ocelot,655_1_17413_8195_18437_9219,170.3488312,36.50908362,22.57690334,7.973762557,244.8557863,32.33945418
ocelot,085_0_22549_49199_23573_50223,184.4341946,35.31095882,25.97294331,11.01134813,239.4091721,41.71931867
ocelot,191_1_5122_6146_6146_7170,171.4023771,70.22546005,16.99435329,22.47167117,161.0422697,116.5270976
ocelot,360_1_38924_9219_39948_10243,221.9506741,23.8908846,20.32090759,57.10936339,130.1063738,125.3934406
ocelot,651_0_86123_67668_87147_68692,133.3166122,47.82752606,27.73530006,13.61500646,236.5159702,43.75327797
ocelot,382_1_24584_2049_25608_3073,181.1629915,31.29172685,22.57783222,7.1567216,230.0961761,69.57024719
ocelot,614_0_6152_24607_7176_25631,177.1228094,49.50612705,16.74104786,10.55763401,236.2133732,41.18252217
ocelot,041_1_3073_4097_4097_5121,158.819375,67.56562767,18.99235153,25.45554262,203.3885784,92.48242191
ocelot,128_0_22534_20486_23558_21510,137.5679312,28.08854675,35.00309086,10.24986765,224.8735542,62.28987682
ocelot,240_0_36910_55365_37934_56389,181.5164003,34.41155984,25.79820442,10.73780683,241.1784039,31.83804836
